0.852602	1.200354	
1.240773	1.503112	
1.606827	1.832561	
5.587671	5.904918	
5.998720	6.280887	
6.421208	6.661431	
6.948174	7.163231	
7.429383	7.630713	
10.017694	10.306725	
10.416541	10.677355	
10.921392	11.138737	
11.365996	11.552073	
13.241263	13.536394	
13.676715	13.960408	
14.443905	14.755814	
19.711278	20.027000	
20.104024	20.336621	
20.563880	20.825457	
23.107960	23.478590	
23.488504	23.698223	
30.063760	30.370331	
30.474046	30.748587	
39.483565	39.822166	
39.875549	40.124923	
40.417767	40.677818	
42.100856	42.453946	
42.503516	42.816950	
42.998452	43.267655	
43.547534	43.827413	
44.272780	44.569436	
51.036401	51.349073	
51.410082	51.679284	
52.535700	52.772873	
52.955900	53.170194	
55.651740	55.923230	
56.125323	56.339617	
56.566876	56.817013	
58.210309	58.541283	
58.613731	58.905812	
59.205520	59.477773	
