1.491119	1.924025	
2.380981	2.777811	
3.511768	3.772812	
3.829915	3.984909	
4.849616	5.110660	
5.159605	5.543013	
6.366931	6.693236	
6.716525	7.011806	
7.068050	7.321147	
8.014755	8.361593	
8.389715	8.694369	
8.741239	9.111511	
9.922361	10.278572	
10.302007	10.578540	
10.695714	10.995682	
11.094109	11.262840	
12.270544	12.631442	
12.668938	13.053271	
13.090767	13.573527	
14.065661	14.365629	
14.398438	14.735901	
15.485820	16.249799	
16.268547	16.610698	
16.896604	17.290311	
18.307388	18.766714	
18.785462	19.286970	
19.305718	19.619746	
20.458717	21.255506	
21.288315	21.766388	
21.813258	22.103851	
22.324140	22.577238	
24.048953	24.550461	
24.569209	24.986351	
25.019160	25.605034	
26.865835	27.165802	
28.004774	28.281306	
29.312444	29.631160	
29.781143	30.071737	
31.191928	31.655940	
31.744993	32.049647	
32.776131	33.183899	
33.390127	33.690094	
34.782163	35.161810	
35.288358	35.649257	
